#x               numerical u     analytic u
0.205589       0.659169       0.666441
0.206587       0.65945       0.666714
0.207585       0.659718       0.666975
0.208583       0.659974       0.667222
0.209581       0.660217       0.667458
0.210579       0.660448       0.667681
0.211577       0.660667       0.667892
0.212575       0.660874       0.668091
0.213573       0.661069       0.668278
0.214571       0.661253       0.668454
0.215569       0.661424       0.668618
0.216567       0.661584       0.66877
0.217565       0.661733       0.668911
0.218563       0.66187       0.66904
0.219561       0.661997       0.669158
0.220559       0.662112       0.669266
0.221557       0.662216       0.669362
0.222555       0.662309       0.669447
0.223553       0.662392       0.669522
0.224551       0.662463       0.669586
0.225549       0.662525       0.669639
0.226547       0.662576       0.669682
0.227545       0.662616       0.669715
0.228543       0.662646       0.669737
0.229541       0.662667       0.669749
0.230539       0.662677       0.669752
0.231537       0.662677       0.669744
0.232535       0.662667       0.669726
0.233533       0.662648       0.669699
0.234531       0.662619       0.669662
0.235529       0.66258       0.669616
0.236527       0.662532       0.66956
0.237525       0.662475       0.669495
0.238523       0.662408       0.66942
0.239521       0.662332       0.669336
0.240519       0.662247       0.669244
0.241517       0.662154       0.669142
0.242515       0.662051       0.669031
0.243513       0.661939       0.668912
0.244511       0.661819       0.668784
0.245509       0.66169       0.668647
0.246507       0.661553       0.668501
0.247505       0.661407       0.668347
0.248503       0.661252       0.668185
0.249501       0.66109       0.668015
0.250499       0.660919       0.667836
0.251497       0.66074       0.667649
0.252495       0.660553       0.667454
0.253493       0.660358       0.667251
0.254491       0.660155       0.66704
0.255489       0.659944       0.666822
0.256487       0.659726       0.666595
0.257485       0.659499       0.666361
0.258483       0.659266       0.66612
0.259481       0.659024       0.665871
0.260479       0.658776       0.665614
0.261477       0.65852       0.66535
0.262475       0.658256       0.665079
0.263473       0.657986       0.664801
0.264471       0.657708       0.664515
0.265469       0.657423       0.664222
0.266467       0.657132       0.663923
0.267465       0.656833       0.663616
0.268463       0.656527       0.663303
0.269461       0.656215       0.662982
0.270459       0.655896       0.662656
0.271457       0.65557       0.662322
0.272455       0.655238       0.661982
0.273453       0.654899       0.661635
0.274451       0.654554       0.661282
0.275449       0.654202       0.660922
0.276447       0.653844       0.660556
0.277445       0.65348       0.660184
0.278443       0.653109       0.659805
0.279441       0.652732       0.659421
0.280439       0.652349       0.65903
0.281437       0.651961       0.658633
0.282435       0.651566       0.658231
0.283433       0.651165       0.657822
0.284431       0.650758       0.657407
0.285429       0.650346       0.656987
0.286427       0.649928       0.656561
0.287425       0.649504       0.65613
0.288423       0.649075       0.655692
0.289421       0.64864       0.655249
0.290419       0.648199       0.654801
0.291417       0.647753       0.654347
0.292415       0.647302       0.653888
0.293413       0.646845       0.653423
0.294411       0.646383       0.652953
0.295409       0.645916       0.652478
0.296407       0.645444       0.651998
0.297405       0.644966       0.651512
0.298403       0.644483       0.651022
0.299401       0.643996       0.650526
0.300399       0.643503       0.650026
0.301397       0.643005       0.64952
0.302395       0.642503       0.64901
0.303393       0.641995       0.648495
0.304391       0.641483       0.647974
0.305389       0.640966       0.64745
0.306387       0.640445       0.64692
0.307385       0.639918       0.646386
0.308383       0.639388       0.645847
0.309381       0.638852       0.645304
0.310379       0.638312       0.644756
0.311377       0.637768       0.644204
0.312375       0.637219       0.643647
0.313373       0.636666       0.643086
0.314371       0.636108       0.642521
0.315369       0.635546       0.641951
0.316367       0.63498       0.641377
0.317365       0.63441       0.640799
0.318363       0.633836       0.640216
0.319361       0.633257       0.63963
0.320359       0.632674       0.639039
0.321357       0.632088       0.638445
0.322355       0.631497       0.637846
0.323353       0.630902       0.637243
0.324351       0.630303       0.636637
0.325349       0.629701       0.636026
0.326347       0.629095       0.635412
0.327345       0.628484       0.634794
0.328343       0.62787       0.634172
0.329341       0.627253       0.633547
0.330339       0.626631       0.632917
0.331337       0.626006       0.632285
0.332335       0.625378       0.631648
0.333333       0.624745       0.631008
0.334331       0.62411       0.630364
0.335329       0.62347       0.629717
0.336327       0.622827       0.629066
0.337325       0.622181       0.628412
0.338323       0.621532       0.627754
0.339321       0.620878       0.627094
0.340319       0.620222       0.626429
0.341317       0.619562       0.625762
0.342315       0.618899       0.625091
0.343313       0.618233       0.624417
0.344311       0.617564       0.623739
0.345309       0.616891       0.623059
0.346307       0.616215       0.622375
0.347305       0.615536       0.621688
0.348303       0.614854       0.620998
0.349301       0.614169       0.620305
0.350299       0.613481       0.619609
0.351297       0.61279       0.61891
0.352295       0.612096       0.618208
0.353293       0.611399       0.617504
0.354291       0.610699       0.616796
0.355289       0.609996       0.616085
0.356287       0.609291       0.615372
0.357285       0.608582       0.614655
0.358283       0.607871       0.613936
0.359281       0.607157       0.613214
0.360279       0.60644       0.612489
0.361277       0.605721       0.611762
0.362275       0.604998       0.611032
0.363273       0.604274       0.610299
0.364271       0.603546       0.609564
0.365269       0.602816       0.608826
0.366267       0.602083       0.608085
0.367265       0.601348       0.607342
0.368263       0.60061       0.606597
0.369261       0.59987       0.605848
0.370259       0.599127       0.605098
0.371257       0.598382       0.604345
0.372255       0.597635       0.603589
0.373253       0.596885       0.602831
0.374251       0.596132       0.602071
0.37525       0.595377       0.601308
0.376248       0.59462       0.600543
0.377246       0.593861       0.599776
0.378244       0.593099       0.599006
0.379242       0.592335       0.598235
0.38024       0.591569       0.59746
0.381238       0.590801       0.596684
0.382236       0.59003       0.595906
0.383234       0.589257       0.595125
0.384232       0.588482       0.594342
0.38523       0.587705       0.593557
0.386228       0.586926       0.59277
0.387226       0.586144       0.591981
0.388224       0.585361       0.591189
0.389222       0.584576       0.590396
0.39022       0.583788       0.589601
0.391218       0.582999       0.588803
0.392216       0.582207       0.588004
0.393214       0.581414       0.587203
0.394212       0.580618       0.586399
0.39521       0.579821       0.585594
0.396208       0.579022       0.584787
0.397206       0.57822       0.583978
0.398204       0.577417       0.583167
0.399202       0.576613       0.582354
0.4002       0.575806       0.581539
0.401198       0.574997       0.580723
0.402196       0.574187       0.579905
0.403194       0.573375       0.579085
0.404192       0.572561       0.578263
0.40519       0.571745       0.577439
0.406188       0.570928       0.576614
0.407186       0.570109       0.575787
0.408184       0.569288       0.574958
0.409182       0.568465       0.574128
0.41018       0.567641       0.573296
0.411178       0.566816       0.572462
0.412176       0.565988       0.571627
0.413174       0.565159       0.57079
0.414172       0.564328       0.569952
0.41517       0.563496       0.569111
0.416168       0.562662       0.56827
0.417166       0.561827       0.567427
0.418164       0.56099       0.566582
0.419162       0.560152       0.565736
0.42016       0.559312       0.564888
0.421158       0.558471       0.564038
0.422156       0.557628       0.563188
0.423154       0.556783       0.562335
0.424152       0.555938       0.561482
0.42515       0.55509       0.560627
0.426148       0.554242       0.55977
0.427146       0.553392       0.558912
0.428144       0.55254       0.558053
0.429142       0.551687       0.557192
0.43014       0.550833       0.55633
0.431138       0.549978       0.555467
0.432136       0.549121       0.554602
0.433134       0.548263       0.553736
0.434132       0.547403       0.552869
0.43513       0.546543       0.552
0.436128       0.54568       0.55113
0.437126       0.544817       0.550259
0.438124       0.543953       0.549386
0.439122       0.543087       0.548513
0.44012       0.54222       0.547638
0.441118       0.541351       0.546761
0.442116       0.540482       0.545884
0.443114       0.539611       0.545005
0.444112       0.538739       0.544126
0.44511       0.537866       0.543245
0.446108       0.536992       0.542363
0.447106       0.536117       0.541479
0.448104       0.53524       0.540595
0.449102       0.534362       0.539709
0.4501       0.533484       0.538823
0.451098       0.532604       0.537935
0.452096       0.531723       0.537046
0.453094       0.530841       0.536156
0.454092       0.529958       0.535265
0.45509       0.529074       0.534373
0.456088       0.528188       0.53348
0.457086       0.527302       0.532586
0.458084       0.526415       0.531691
0.459082       0.525526       0.530794
0.46008       0.524637       0.529897
0.461078       0.523747       0.528999
0.462076       0.522855       0.5281
0.463074       0.521963       0.5272
0.464072       0.52107       0.526298
0.46507       0.520176       0.525396
0.466068       0.519281       0.524493
0.467066       0.518384       0.523589
0.468064       0.517487       0.522684
0.469062       0.516589       0.521778
0.47006       0.51569       0.520872
0.471058       0.514791       0.519964
0.472056       0.51389       0.519055
0.473054       0.512988       0.518146
0.474052       0.512086       0.517236
0.47505       0.511183       0.516324
0.476048       0.510278       0.515412
0.477046       0.509373       0.514499
0.478044       0.508467       0.513585
0.479042       0.507561       0.512671
0.48004       0.506653       0.511755
0.481038       0.505745       0.510839
0.482036       0.504836       0.509922
0.483034       0.503926       0.509004
0.484032       0.503015       0.508086
0.48503       0.502103       0.507166
0.486028       0.501191       0.506246
0.487026       0.500278       0.505325
0.488024       0.499364       0.504403
0.489022       0.498449       0.50348
0.49002       0.497534       0.502557
0.491018       0.496618       0.501633
0.492016       0.495701       0.500708
0.493014       0.494783       0.499783
0.494012       0.493865       0.498857
0.49501       0.492946       0.49793
0.496008       0.492026       0.497002
0.497006       0.491106       0.496074
0.498004       0.490185       0.495145
0.499002       0.489263       0.494215
0.5       0.48834       0.493285
0.500998       0.487417       0.492354
0.501996       0.486493       0.491422
0.502994       0.485569       0.49049
0.503992       0.484644       0.489557
0.50499       0.483718       0.488623
0.505988       0.482792       0.487689
0.506986       0.481865       0.486754
0.507984       0.480937       0.485818
0.508982       0.480009       0.484882
0.50998       0.47908       0.483945
0.510978       0.47815       0.483008
0.511976       0.47722       0.48207
0.512974       0.476289       0.481131
0.513972       0.475358       0.480192
0.51497       0.474426       0.479252
0.515968       0.473494       0.478312
0.516966       0.472561       0.477371
